,listing,cost,store,review,crowd
0,"Tarot deck, tarot card deck, tarot cards, oracle deck, 78 cards",51.8,LaMuciDesign,4.9169,326
1,The Dark Mansion Tarot deck - Regular Version 2nd.,119.99,TarotCollectionArt,5,1
2,10-Card Tarot Reading | Same Day,11,AskMara,4.9829,444
3,"Psychic Reading by Amanda 1 One Question 98%Act Predictions Tarot Card 1# Reader Canada Past Present,Future SameDay Reading Love,Finance PDF",1.64,PsychicAmandaStudio,4.8135,2236
4,Love & Relationship Tarot Reading - Twin Flame - Soulmate - In Depth - Same Day - Fast Response - Psychic Reading,6,ByNymph,4.8221,2723
5,The Sasuraibito Tarot - 78 Card Deck and booklet,48,stasiab,4.9917,6012
6,"Anima Mundi tarot deck, 78 card deck with guide book, nature deck, occult divination cards, major and minor arcana",45,TheCreepingMoon,4.9875,3154
7,"100% Accurate TAROT Reading || Email Video Recording || PICK Your DECKS if you want || Private Tarot Reading, Oracle Reading",2.46,TheBlueLionsDen,4.9804,51
8,This Might Hurt Tarot Deck,45,ThisMightHurtonEtsy,4.9524,399
9,"SAME DAY: Text Message Tarot Reading Up To 3 Questions, Same Day Readings",3,SwordsNCupsEsoterics,4.9617,212
10,Marchetti Tarot,55,CiroMarchetti,5,142
11,SAME DAY!! Tarot Reading - One question tarot reading and oracle reading / any question Love Career Future Advice.,6.5,MDLittleShop,4.9592,51
12,Tarot cheat sheet with upright and reversed tarot card meanings for tarot beginners from The Simple Tarot,8.99,TheSimpleTarot,4.9,821
13,Moon Tarot Cloth | Moon Phases | Luna Moth | Crystals | Witch Gift |  Moon Lover | Altar Cloth | Spirit Cloth | Divination Tool,20,78Tarot,4.9499,1027
14,Life Situation Tarot Reading - Career - Guidance - Spirit - In Depth - Same Day - Fast Response - General Reading - Psychic Reading,4.5,ByNymph,4.8221,2723
15,"Tarot cards Deck, pouch set The Original Rider Waite Cards and guide book-  includes free velvet satin lined pouch",19.32,TranscendentalismGB,4.9308,471
16,The Pastel Magic Tarot Third Edition,25.5,MulberryMoonCraft,5,64
17,Aquarius Tarot Psychedelic Hand Drawn Deck by Dawn Aquarius 8th Printing,50,MercuryMagicians,5,191
18,"Detailed Love reading, Relationship Lovers Reading using Astrology and Tarot Card Reading. Very Detailed. Fast same day reply :-)",19.33,IrishFamilyPsychics,4.9337,5559
19,Mermaid Tarot | Dame Darcy | Tarot l Mermaid | Witch | Oracle | Reading | Tarot Deck | Deck | Divination | Mermaid Oracle,55,DameDarcy,4.9309,2214
20,Moondust Tarot Card Deck | Black Gold White Celestial Stars Bohemian Art | Dreamy Egyptian Symbols | Oracle Magic,50,TerraSoleilCo,5,4
21,Deep Tarot Psychic Reading - Detailed - Quick,2.22,SunLoverBySunny,5,42
22,Moon Witch Tarot Cards Bag Drawstring Pouch,17.99,WishcraftGoods,4.9655,450
23,Dragon Age Inquisition Arcana Tarot 78 Cards Full Deck Dragon Age Tarot Dragon Age Inquisition Original Tarot Gift For Him Gift For Her,94,MagicArtClay,4.875,8
24,PRE-ORDER! The Star Seeker Tarot Deck - MAY 2020,45,thevanmystic,4.7143,21
25,Pre-Order Tarot of Famous Witches,32.22,RachelFordJPG,4.1429,7
26,New! Tarot Sirene - Mermaid Deck,46,WanderingOracle,4.9444,208
27,ONE QUESTION Tarot Reading,2.33,SCEATarot,4.9831,59
28,Sailor Moon Tarot Deck - Major Arcana,75,TheMutinousMermaid,4.9412,130
29,Tarot reading same day,4,RiseWitchApothecary,5,228
30,Personal Tarot Video,6.11,SCEATarot,4.9831,59
31,"Vintage SMITH-WAITE Tarot Card Deck - Centennial Edition - 78 Card Deck, Guidebook, Three Crystals and Purple Tarot Bag - TCSW",22,StonedGypsyArt,5,1
32,"Psychic Reading, Psychic Drawing, Love Reading, Psychic Love Reading, Same Day Reading, Tarot Reading, Love Reading Fast",21.1,LoveFilledFuture,5,9
33,Sasuraibito Tarot Cloth - Cotton Silkscreened altar ritual spread,20,stasiab,4.9917,6012
34,SAME DAY 1 Question Tarot Reading!,3.25,TarotCardGypsy,4.9617,209
35,Nightscape Tarot Deck,45,NightscapeTarot,5,1
36,Major22pcs -Delos tarot card,19,lamblamb99,5,194
37,Tarot reading for one question (2 cards) within 10 hours!,2.62,MysticalMonday,5,11
38,One Card Tarot Reading - Same Day/Answers 1 Question,1.03,TarotTreasuresDesign,4.9519,1098
39,Digital tarot cheat sheet with tarot card meanings for tarot beginners from The Simple Tarot,5.89,TheSimpleTarot,4.9,821
40,"When Will I Conceive and Baby's Gender Tarot Reading, Find Out Time When You Will Get Pregnant , Fertility/ Pregnancy Reading, TTC Reading",3.85,TheEarthTarotReading,5,20
41,"Tarot Cheat Sheet, Correspondences and Meanings",5.31,TheAlmostWitch,4.98,50
42,"BRuT Tarot by Uusi, 90 card tarot cards deck that are based on the standard playing card imagery with major arcana",32.77,AVTarotMarket,4.932,103
43,Delos tarot designed Mobile(Random 30pcs),10,lamblamb99,5,194
44,Art Nouveau Inspired Stickers - Forager's Daughter Tarot,2,TheForagersDaughter,0,0
45,PDF pattern - The Moon Tarot Card Hand Embroidery Pattern (PDF modern hand embroidery pattern),6.99,ALIFERA,4.9692,1169
46,"Party Supplies Fun Play Yes or No Decision Making Coin- Oracle, Divination, Ouija, Tarot Coin, Head or Tails Coin For Games & Parties",7.95,PajoriiButtons,4.9369,1656
47,PINUP TAROT Deck (Major Arcana),40,princessmegtattoos,5,10
80,Tarot Mentoring,944,IsisOwlMoon,4.9375,64
81,"Large Sunbeam Necklace - Minimalist Starburst, Sunshine Necklace - The Sun Tarot Jewelry - Inspirational Daughter Gift - LN216",43,GLDNxLayeredAndLong,4.9279,64795
82,Marshmallow Marseille Tarot - Classic Deck,46,WanderingOracle,4.9444,208
83,Zodiac Tarot Necklace 18K Gold Filled / Tarot Card Necklace / Customised Zodiac Necklace / Zodiac Pendant / Astrology Zodiac Sign Necklace,94.01,skinstudiojewelry,4.949,121
84,The Weird Cat Tarot Deck and Guidebook,50,GabbyKashArt,5,232
85,Mysteries of Mary tarot deck and guidebook - Pre-order,120,TheFrenchMadonna,4.9899,211
86,"Crystal ball pocket oracle cards, tarot deck, oracle cards, tarot cards, crescent moon, full moon, witchy, witchcraft, divination tool",19.07,TheWhiteWitchOracle,4.9479,697
87,"Tarot Card Reading, Same Day Psychic Reading, Same Day Reading, Tarot Reading, Card Reading, Psychic, Life Coach, Reading by Clairvoyant",15,WhitneysMysticalShop,4.8878,384
88,"Melanie Williams, Indigo Tarot Odyssey PRIVATE TAROT READ",66,SparKrist,4.9836,85
89,Cowboy Tarot - Fancy,45,ghostsproducts,5,22
90,18+! Sexual Tarot Reading With Tarot of Sexual Magic,10,PriestessFromVenus,0,0
91,The Wizard's Tarot,40,WIZARDOFBARGE,4.9753,2495
92,Conception prediction (Timing) - Tarot card reading : Trying to conceive,3.32,PregnancyUnicorn,4.6061,33
93,"Daily Tarot Reading,  1 card reading, Daily Tarot card  . Fast reply .",1.29,IrishFamilyPsychics,4.9337,5559
94,Doodle Tarot Deck,44.44,MagicallyBree,4.4286,8
